# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalNativeBytesAllocated,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.totalPagesWritten,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.nativeBytesInUse,1775502679556000000,1775506049402000000,0
DirectByteBufferAllocator.misses,1775502679556000000,1775506049402000000,193
FilePageCache.capacityInBytes,1775502679556000000,1775506049402000000,503316478
FilePageCacheLockFree.totalBytesWritten,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.totalBytesRequested,1775502679556000000,1775506049402000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1775502679556000000,1775506049402000000,1233699
FilePageCache.pageHits,1775502679556000000,1775506049402000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.totalPagesReclaimed,1775502679556000000,1775506049402000000,0
StreamlinedBlobStorage.recordsRelocated,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.totalPagesWriteMs,1775502679556000000,1775506049402000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.heapBytesInUse,1775502679556000000,1775506049402000000,0
FilePageCache.uncachedFileAccess,1775502679556000000,1775506049402000000,331
StorageLockContext.competingThreads.90P,1775502679556000000,1775506049402000000,2
MappedFileStorage.totalBytesMapped,1775502679556000000,1775506049402000000,164626432
FilePageCacheLockFree.housekeeperTurnsDone,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1775502679556000000,1775506049402000000,0
FilePageCache.disposedBuffers,1775502679556000000,1775506049402000000,3
DirectByteBufferAllocator.disposed,1775502679556000000,1775506049402000000,0
FilePageCacheLockFree.totalBytesRead,1775502679556000000,1775506049402000000,0
DirectByteBufferAllocator.reclaimed,1775502679556000000,1775506049402000000,3
FilePageCache.totalPageDisposalsUs,1775502679556000000,1775506049402000000,626
FileChannelInterruptsRetryer.totalRetriedAttempts,1775502679556000000,1775506049402000000,0
MappedFileStorage.totalPagesMapped,1775502679556000000,1775506049402000000,6
MappedFileStorage.storages,1775502679556000000,1775506049402000000,6
FilePageCacheLockFree.totalPagesAllocated,1775502679556000000,1775506049402000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775502679556000000,1775506049402000000,202375168
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775502679556000000,1775506049402000000,0
FilePageCache.maxRegisteredFiles,1775502679556000000,1775506049402000000,537
FilePageCacheLockFree.totalPagesRequestsMs,1775502679556000000,1775506049402000000,0
