# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1775549639677000000,1775549652883000000,0
writeAction.median.wait.ms,1775549639677000000,1775549652883000000,0
writeAction.wait.ms,1775549639677000000,1775549652883000000,0
writeAction.count,1775549639677000000,1775549652883000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1775549639677000000,1775549652883000000,3
workspaceModel.updates.ms,1775549639677000000,1775549652883000000,0
workspaceModel.collect.changes.ms,1775549639677000000,1775549652883000000,0
workspaceModel.updates.count,1775549639677000000,1775549652883000000,0
workspaceModel.cachedValue.from.cache.ms,1775549639677000000,1775549652883000000,0
workspaceModel.loading.from.cache.ms,1775549639677000000,1775549652883000000,33
workspaceModel.cachedValueWithParameters.total.get.ms,1775549639677000000,1775549652883000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1775549639677000000,1775549652883000000,0
workspaceModel.cachedValue.calculated.ms,1775549639677000000,1775549652883000000,0
workspaceModel.to.snapshot.ms,1775549639677000000,1775549652883000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1775549639677000000,1775549652883000000,0
workspaceModel.full.replace.project.model.ms,1775549639677000000,1775549652883000000,0
workspaceModel.cachedValue.clear.ms,1775549639677000000,1775549652883000000,0
workspaceModel.pre.handlers.ms,1775549639677000000,1775549652883000000,0
workspaceModel.initializing.ms,1775549639677000000,1775549652883000000,0
workspaceModel.check.recursive.update.ms,1775549639677000000,1775549652883000000,0
workspaceModel.updates.precise.ms,1775549639677000000,1775549652883000000,0
workspaceModel.loading.total.ms,1775549639677000000,1775549652883000000,41
workspaceModel.cachedValueWithParameters.calculated.ms,1775549639677000000,1775549652883000000,0
workspaceModel.replace.project.model.ms,1775549639677000000,1775549652883000000,0
workspaceModel.update.unloaded.entities.ms,1775549639677000000,1775549652883000000,0
workspaceModel.cachedValue.total.get.ms,1775549639677000000,1775549652883000000,0
workspaceModel.init.bridges.ms,1775549639677000000,1775549652883000000,0
DirectByteBufferAllocator.misses,1775549639677000000,1775549652883000000,193
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1775549639677000000,1775549652883000000,0
StorageLockContext.competingThreads.avg,1775549639677000000,1775549652883000000,0.0
FilePageCacheLockFree.totalPagesReclaimed,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalPagesReadMs,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalPagesHandedOver,1775549639677000000,1775549652883000000,0
MappedFileStorage.totalBytesMapped,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalPagesAllocated,1775549639677000000,1775549652883000000,0
DirectByteBufferAllocator.disposed,1775549639677000000,1775549652883000000,153
FilePageCacheLockFree.totalPagesWriteMs,1775549639677000000,1775549652883000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1775549639677000000,1775549652883000000,0
FilePageCache.maxCacheSizeInBytes,1775549639677000000,1775549652883000000,202375168
FilePageCache.capacityInBytes,1775549639677000000,1775549652883000000,503316478
DirectByteBufferAllocator.hits,1775549639677000000,1775549652883000000,3
FilePageCacheLockFree.totalPagesRequestsMs,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1775549639677000000,1775549652883000000,0
DirectByteBufferAllocator.reclaimed,1775549639677000000,1775549652883000000,43
FilePageCache.totalPageDisposalsUs,1775549639677000000,1775549652883000000,1461
MappedFileStorage.totalPagesMapped,1775549639677000000,1775549652883000000,0
FilePageCache.uncachedFileAccess,1775549639677000000,1775549652883000000,110
FilePageCacheLockFree.totalBytesRead,1775549639677000000,1775549652883000000,0
MappedFileStorage.storages,1775549639677000000,1775549652883000000,0
FilePageCache.totalPageLoadsUs,1775549639677000000,1775549652883000000,328487
FilePageCacheLockFree.nativeBytesInUse,1775549639677000000,1775549652883000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1775549639677000000,1775549652883000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1775549639677000000,1775549652883000000,11979
FilePageCache.pageFastCacheHits,1775549639677000000,1775549652883000000,3880
FilePageCacheLockFree.housekeeperTurnsDone,1775549639677000000,1775549652883000000,0
StorageLockContext.competingThreads.90P,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalPagesWritten,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalPagesRequested,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalBytesWritten,1775549639677000000,1775549652883000000,0
FilePageCache.pageLoads,1775549639677000000,1775549652883000000,196
FilePageCacheLockFree.totalBytesRequested,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.heapBytesInUse,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1775549639677000000,1775549652883000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775549639677000000,1775549652883000000,41943040
FilePageCache.disposedBuffers,1775549639677000000,1775549652883000000,196
StorageLockContext.competingThreads.max,1775549639677000000,1775549652883000000,0
FilePageCache.pageHits,1775549639677000000,1775549652883000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1775549639677000000,1775549652883000000,0
FilePageCache.maxRegisteredFiles,1775549639677000000,1775549652883000000,537
FilePageCacheLockFree.housekeeperTimeSpentMs,1775549639677000000,1775549652883000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775549639677000000,1775549652883000000,41943040
FilePageCacheLockFree.housekeeperTurnsSkipped,1775549639677000000,1775549652883000000,0
