# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.library.entities.serializer.save.entities.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775624179637000000,1775624193557000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775624179637000000,1775624193557000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775624179637000000,1775624193557000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775624179637000000,1775624193557000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775624179637000000,1775624193557000000,1
workspaceModel.global.updates.count,1775624179637000000,1775624193557000000,0
jps.global.get.library.ms,1775624179637000000,1775624193557000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775624179637000000,1775624193557000000,0
jps.save.global.entities.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775624179637000000,1775624193557000000,0
jps.library.entities.serializer.load.entities.ms,1775624179637000000,1775624193557000000,0
jps.global.get.library.by.name.ms,1775624179637000000,1775624193557000000,0
jps.load.initial.state.ms,1775624179637000000,1775624193557000000,15
workspaceModel.do.save.caches.ms,1775624179637000000,1775624193557000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775624179637000000,1775624193557000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775624179637000000,1775624193557000000,0
workspaceModel.save.cache.to.file.ms,1775624179637000000,1775624193557000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775624179637000000,1775624193557000000,0
jps.global.handle.changed.events.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775624179637000000,1775624193557000000,0
jps.app.storage.content.reader.load.component.ms,1775624179637000000,1775624193557000000,1
workspaceModel.global.updates.ms,1775624179637000000,1775624193557000000,0
jps.global.initialize.library.bridges.ms,1775624179637000000,1775624193557000000,0
jps.global.get.libraries.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775624179637000000,1775624193557000000,0
jps.global.handle.before.change.events.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.instances.count,1775624179637000000,1775624193557000000,3
workspaceModel.sync.entities.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775624179637000000,1775624193557000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775624179637000000,1775624193557000000,0
workspaceModel.global.apply.state.to.project.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775624179637000000,1775624193557000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775624179637000000,1775624193557000000,0
jps.global.initialize.library.bridges.after.loading.ms,1775624179637000000,1775624193557000000,2
workspaceModel.cachedValue.calculated.ms,1775624179637000000,1775624193557000000,0
workspaceModel.full.replace.project.model.ms,1775624179637000000,1775624193557000000,0
workspaceModel.pre.handlers.ms,1775624179637000000,1775624193557000000,0
workspaceModel.updates.count,1775624179637000000,1775624193557000000,0
