# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.get.libraries.ms,1775512753799000000,1775512767695000000,0
jps.load.initial.state.ms,1775512753799000000,1775512767695000000,18
jps.app.storage.content.reader.load.component.ms,1775512753799000000,1775512767695000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.instances.count,1775512753799000000,1775512767695000000,3
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775512753799000000,1775512767695000000,0
workspaceModel.sync.entities.ms,1775512753799000000,1775512767695000000,0
workspaceModel.global.apply.state.to.project.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775512753799000000,1775512767695000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775512753799000000,1775512767695000000,0
workspaceModel.save.cache.to.file.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775512753799000000,1775512767695000000,0
jps.library.entities.serializer.save.entities.ms,1775512753799000000,1775512767695000000,0
workspaceModel.global.updates.count,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775512753799000000,1775512767695000000,1
jps.library.entities.serializer.load.entities.ms,1775512753799000000,1775512767695000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775512753799000000,1775512767695000000,0
jps.global.get.library.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775512753799000000,1775512767695000000,0
workspaceModel.load.cache.from.file.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775512753799000000,1775512767695000000,0
jps.global.handle.changed.events.ms,1775512753799000000,1775512767695000000,0
jps.global.initialize.library.bridges.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775512753799000000,1775512767695000000,0
workspaceModel.do.save.caches.ms,1775512753799000000,1775512767695000000,0
jps.save.global.entities.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775512753799000000,1775512767695000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775512753799000000,1775512767695000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775512753799000000,1775512767695000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775512753799000000,1775512767695000000,0
jps.global.initialize.library.bridges.after.loading.ms,1775512753799000000,1775512767695000000,2
workspaceModel.load.cache.metadata.from.file.ms,1775512753799000000,1775512767695000000,0
jps.global.handle.before.change.events.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775512753799000000,1775512767695000000,0
jps.global.get.library.by.name.ms,1775512753799000000,1775512767695000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775512753799000000,1775512767695000000,0
workspaceModel.global.updates.ms,1775512753799000000,1775512767695000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775512753799000000,1775512767695000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775512753799000000,1775512767695000000,0
DirectByteBufferAllocator.misses,1775512753799000000,1775512767695000000,193
FilePageCacheLockFree.housekeeperTurnsDone,1775512753799000000,1775512767695000000,0
StorageLockContext.competingThreads.90P,1775512753799000000,1775512767695000000,0
FilePageCache.capacityInBytes,1775512753799000000,1775512767695000000,503316478
FilePageCacheLockFree.totalPagesWritten,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.nativeBytesInUse,1775512753799000000,1775512767695000000,0
DirectByteBufferAllocator.hits,1775512753799000000,1775512767695000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775512753799000000,1775512767695000000,41943040
FilePageCache.pageHits,1775512753799000000,1775512767695000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1775512753799000000,1775512767695000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775512753799000000,1775512767695000000,41943040
FilePageCacheLockFree.totalBytesRequested,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1775512753799000000,1775512767695000000,0
MappedFileStorage.totalBytesMapped,1775512753799000000,1775512767695000000,0
FilePageCache.totalPageLoadsUs,1775512753799000000,1775512767695000000,254094
FilePageCacheLockFree.totalHeapBytesAllocated,1775512753799000000,1775512767695000000,0
DirectByteBufferAllocator.disposed,1775512753799000000,1775512767695000000,153
FilePageCache.pageFastCacheHits,1775512753799000000,1775512767695000000,3880
MappedFileStorage.storages,1775512753799000000,1775512767695000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1775512753799000000,1775512767695000000,0
FilePageCache.maxRegisteredFiles,1775512753799000000,1775512767695000000,537
FilePageCacheLockFree.totalBytesRead,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.totalPagesAllocated,1775512753799000000,1775512767695000000,0
MappedFileStorage.totalPagesMapped,1775512753799000000,1775512767695000000,0
FilePageCache.pageLoads,1775512753799000000,1775512767695000000,196
FilePageCacheLockFree.totalPagesHandedOver,1775512753799000000,1775512767695000000,0
DirectByteBufferAllocator.reclaimed,1775512753799000000,1775512767695000000,43
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.totalPagesReclaimed,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.totalBytesWritten,1775512753799000000,1775512767695000000,0
StorageLockContext.competingThreads.avg,1775512753799000000,1775512767695000000,0.0
FilePageCacheLockFree.totalNativeBytesAllocated,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.totalPagesReadMs,1775512753799000000,1775512767695000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1775512753799000000,1775512767695000000,13181
FilePageCacheLockFree.heapBytesInUse,1775512753799000000,1775512767695000000,0
FilePageCache.uncachedFileAccess,1775512753799000000,1775512767695000000,110
FilePageCacheLockFree.totalNativeBytesReclaimed,1775512753799000000,1775512767695000000,0
FilePageCache.totalPageDisposalsUs,1775512753799000000,1775512767695000000,1265
StorageLockContext.competingThreads.max,1775512753799000000,1775512767695000000,0
FilePageCache.maxCacheSizeInBytes,1775512753799000000,1775512767695000000,202375168
FilePageCache.disposedBuffers,1775512753799000000,1775512767695000000,196
FilePageCacheLockFree.totalPagesRequestsMs,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.totalPagesRequested,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.totalPagesWriteMs,1775512753799000000,1775512767695000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1775512753799000000,1775512767695000000,0
cacheStateStorage.set.counter,1775512753799000000,1775512767695000000,0
cacheStateStorage.get.duration,1775512753799000000,1775512767695000000,0
cacheStateStorage.set.duration,1775512753799000000,1775512767695000000,0
cacheStateStorage.get.counter,1775512753799000000,1775512767695000000,10
VFS.fileByIdCache.misses,1775512753799000000,1775512767695000000,0
VFS.invertedFileNameIndex.requests,1775512753799000000,1775512767695000000,0
VFS.fileChildByName,1775512753799000000,1775512767695000000,13
VFS.fileByIdCache.hits,1775512753799000000,1775512767695000000,0
FlushQueue.queueSize90P,1775512753799000000,1775512767695000000,0
FlushQueue.queueSizeMax,1775512753799000000,1775512767695000000,0
AWTEventQueue.dispatchTimeMaxNs,1775512753799000000,1775512767695000000,0
NonBlockingReadAction.finalizedExecutionsCount,1775512753799000000,1775512767695000000,15
FlushQueue.tasksExecuted,1775512753799000000,1775512767695000000,0
ReadAction.executionsCount,1775512753799000000,1775512767695000000,50085
FlushQueue.executionTime90PNs,1775512753799000000,1775512767695000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1775512753799000000,1775512767695000000,157551
WriteAction.executionsCount,1775512753799000000,1775512767695000000,1
FlushQueue.waitingTimeMaxNs,1775512753799000000,1775512767695000000,0
FlushQueue.waitingTime90PNs,1775512753799000000,1775512767695000000,0
AWTEventQueue.dispatchTime90PNs,1775512753799000000,1775512767695000000,0
AWTEventQueue.dispatchTimeAvgNs,1775512753799000000,1775512767695000000,0.0
